Givenname,Surname,Streetaddress,City,Zipcode,Country,CountryCode,NationalId,TelephoneCountryCode,Telephone,Birthday,ConsentToContact
Christopher,Johnson,Morales Walks 0416,Calderonmouth,63041,Danmark,DK,19760618-3225,+45,(479)934-0640x6181,1976-06-18,True
Leslie,Stewart,Frank Inlet 6660,South Holly,13761,Danmark,DK,19760402-3584,+45,(285)354-9420x26755,1976-04-02,True
Margareta,Martinsson,Kvarnvägen 0,Karlskoga,51283,Sverige,SE,19620903-2126,+46,08-859 555 46,1962-09-03,True
Asbjørn,Arnesen,Christensenengen 40F,Ruud,0121,Norge,NO,19880716-7456,+47,43922033,1988-07-16,True
Stefan,Kjellberg,Skolgatan 3,Göteborg,30497,Sverige,SE,19941028-3272,+46,08-821 933 33,1994-10-28,True
Tobias,Jakobsen,Ruudhaugen 83B,Hannasand,5424,Norge,NO,19600201-3805,+47,963 04 888,1960-02-01,True
Sara,Wolf,Frazier Islands 1862,West George,62666,Danmark,DK,19980113-1419,+45,001-579-555-4354x04633,1998-01-13,True
Göran,Ahlgren,Furugatan 95,Motala,79001,Sverige,SE,19921009-1213,+46,080-06 55 63,1992-10-09,True
Kristina,Pettersson,Stortorget 271,Stockholm,52469,Sverige,SE,19780706-1049,+46,08-813 027 56,1978-07-06,True
Inger,Svendsen,Andreassenholtet 8,Rønning,5361,Norge,NO,19760125-8283,+47,46 73 78 97,1976-01-25,True
Kim,Sandvik,Lundvika 05,Linehelle,6821,yorge,NO,19960909-0068,+47,41071587,1996-09-09,True
Marie,Jafari,Parkvägen 88,Örebro,48843,Sverige,SE,19700311-2189,+46,+46 (0)8 071 009 92,1970-03-11,True
Justin,Garcia,Dana Circle 00831,Nguyenshire,30950,Danmark,DK,19570604-9989,+45,873.942.7856,1957-06-04,True
Linda,Pihl,Granstigen 36,Luleå,83870,Sverige,SE,19551127-4349,+46,08-459 790 74,1955-11-27,True
Marianne,Svendsen,Henriksengjerdet 856,Nielsen,4141,Norge,NO,19400422-6301,+47,49406081,1940-04-22,True
Emma,Lund,Bakkenspranget 5B,Stigeid,0243,Norge,NO,19801205-9016,+47,05147903,1980-12-05,True
Conny,Ahlberg,Kvarnvägen 596,Trelleborg,39929,Sverige,SE,19901006-4498,+46,+46 (0)28 04 16 02,1990-10-06,True
Eva,Issa,Industrigatan 14,Gävle,56575,Sverige,SE,19870301-7051,+46,0926-44 41 83,1987-03-01,True
Gary,Woodward,Maxwell Mall 60828,North John,20800,Danmark,DK,19651027-9466,+45,885.269.7789x48209,1965-10-27,True
Margareta,Gunnarsson,Kvarnstigen 4,Örebro,67550,Sverige,SE,19621110-8858,+46,0406-09 81 82,1962-11-10,True
Kerstin,Eriksson,Ekgatan 4,Umeå,43194,Sverige,SE,19611022-1895,+46,077-932 66 07,1961-10-22,True
Brent,Buck,James Trafficway 37111,Saundersside,48616,Danmark,DK,19810411-4217,+45,267.995.5851,1981-04-11,True
Karin,Svendsen,Nielsentoppen 26,Gunnås,3771,Norge,NO,19830115-6444,+47,400 68 148,1983-01-15,True
Evelyn,Miller,Dylan Lights 513,Anitaland,17133,Danmark,DK,19520805-5309,+45,(468)404-2310x6366,1952-08-05,True
Ingemar,Nilsson,Stationsvägen 097,Södertälje,80909,Sverige,SE,19441101-3303,+46,+46 (0)8 239 751 51,1944-11-01,True
Dennis,Thompson,Stephen Mount 2497,Lake James,34201,Danmark,DK,19511027-3192,+45,936-407-6710,1951-10-27,True
Hans,Larsson,Skogsgatan 66,Karlstad,40660,Sverige,SE,19690419-8665,+46,0980-17 56 33,1969-04-19,True
Ingemar,Andersson,Idrottstorget 110,Göteborg,99010,Sverige,SE,19900320-6498,+46,0522-927 76,1990-03-20,True
Juan,Avery,Morris Spur 60619,Kennethside,90701,Danmark,DK,19701028-5714,+45,901.714.6341,1970-10-28,True
Jessica,Butler,Chandler Causeway 589,Stevenport,88788,Danmark,DK,19750415-8919,+45,+1-558-524-2073x70039,1975-04-15,True
Ahmad,Bergsten,Kyrkovägen 1,Varberg,62636,Sverwge,SE,19481211-1137,+46,042-59 75 44,1948-12-11,True
Helena,Eriksson,Kyrkvägen 86,Karlskoga,77152,Sverige,SE,19591121-2400,+46,08-15 31 53,1959-11-21,True
Kristy,Suarez,Hester Lakes 534,Pruittshire,96874,Danmark,DK,19440807-5040,+45,001-764-282-6463,1944-08-07,True
Leslie,Young,Theresa Pine 805,Katrinaview,48311,Danmark,DK,20000405-7572,+45,936.873.5891x03888,2000-04-05,True
Mathias,Johnsen,Tangenalléen 82C,Solveigsjøen,4642,Norge,NO,19870515-3219,+47,+47 25 33 25 14,1987-05-15,True
Gustaf,Bergqvist,Järnvägstorget 89,Norrköping,54807,Sverige,SE,19700430-9344,+46,+46 (0)8 432 858 47,1970-04-30,True
Michael,Cabrera,Andrea Lane 060,North Bonnieton,41218,Danmark,DK,19760919-1821,+45,546-341-5958x369,1976-09-19,True
Maria,Hagen,Eliassenhøgda 13,Øyvindsund,7169,Norge,NO,19730825-6530,+47,56 75 53 11,1973-08-25,True
Cecilia,Månsson,Villagatan 2,Skellefteå,81931,Sverige,SE,19970930-9926,+46,+46 (0)56 57 41 16,1997-09-30,True
Vegard,Nygård,Andresenalléen 9,Mikkelsen,8870,Norge,NO,19750702-6860,+47,62260926,1975-07-02,True
Alvar,Nilsson,Skogsvägen 9,Norrköping,44981,Sverige,SE,19730327-2466,+46,0518-959 20,1973-03-27,True
August,Lundqvist,Storgatan 7,Kristianstad,37419,Sverige,SE,19691217-2285,+46,08-46 50 56,1969-12-17,True
Gunn,Martinsen,Madsenhagen 4,Kennethvær,0313,Norge,NO,19970310-4296,+47,+4776695551,1997-03-10,True
Rune,Nilsson,Industrivägen 3,Linköping,23194,Sverige,SE,19870224-0245,+46,08-035 425 88,1987-02-24,True
Chad,Alexander,Lopez Knolls 6107,Lake Melissaland,48557,Danmark,DK,19931002-0490,+45,591.903.1863x0644,1993-10-02,True
Helge,Ljungberg,Industrivägen 748,Södertälje,16077,Sverige,SE,19661111-6094,+46,+46 (0)8 857 822 52,1966-11-11,True
Lars,Andersson,Parktorget 79,Karlstad,77450,Sverige,SE,19910525-1337,+46,08-282 21 89,1991-05-25,True
Nils,Svensson,Furustigen 84,Nyköping,50866,Sverige,SE,19500830-0059,+46,064-58 28 26,1950-08-30,True
Ann,Persson,Kyrkvägen 45,Sundsvall,73998,Sverige,SE,19840502-7233,+46,+46 (0)8 835 253 88,1984-05-02,True
Joshua,Short,Graham Ferry 86732,South Sandramouth,36382,Danmark,DK,19550216-1546,+45,001-588-801-0765,1955-02-16,True
Ingrid,Kjellberg,Villastigen 906,Lidingö,77969,Sverige,SE,19451226-3210,+46,099-260 14 81,1945-12-26,True
Patrick,Myers,Acosta Forest 329,Marcushaven,94430,Danmark,DK,19721030-2441,+45,202-517-6487x5682,1972-10-30,True
Julius,Nilsson,Trädgårdstorget 77,Kalmar,63984,Sverige,SE,19460511-4269,+46,+46 (0)8 559 004 01,1946-05-11,True
Inga-Lill,Ivarsson,Parktorget 97,Alingsås,38450,Sverige,SE,19661030-2589,+46,08-635 96 87,1966-10-30,True
Theodor,Niklasson,Björkgatan 64,Eskilstuna,61977,Sverige,SE,19460707-2988,+46,069-226 69 24,1946-07-07,True
Kauko,Hänninen,Neulapadonbulevardi 337,Korsnäs,88278,Finland,FI,19430320-269R,+358,+358201633943,1943-03-20,True
Anne,Rasmussen,Aasroa 72,Roarsjøen,0612,Norge,NO,19680907-8529,+47,47 72 72 82,1968-09-07,True
Solveig,Jensen,Jensseneggen 6,Nilsen,4779,Norge,NO,19900720-5294,+47,+4732311602,1990-07-20,True
Sissel,Brekke,Danielsenvollen 50,Elinmark,8782,Norge,NO,19540327-2185,+47,83719378,1954-03-27,True
Anthony,Bailey,Wells Ways 8843,Evanschester,61259,Danmark,DK,19550918-0050,+45,+1-213-673-5414,1955-09-18,True
